code,name,listingDate,shares,listingBoard
AALI,Astra Agro Lestari Tbk.,1997-12-09T00:00:00,1924688333,Utama
ABBA,Mahaka Media Tbk.,2002-04-03T00:00:00,3935892857,Pemantauan Khusus
ABDA,Asuransi Bina Dana Arta Tbk.,1989-07-06T00:00:00,620806680,Pemantauan Khusus
ABMM,ABM Investama Tbk.,2011-12-06T00:00:00,2753165000,Utama
ACES,Aspirasi Hidup Indonesia Tbk.,2007-11-06T00:00:00,17120389700,Utama
ACST,Acset Indonusa Tbk.,2013-06-24T00:00:00,12675160000,Pengembangan
ADES,Akasha Wira International Tbk.,1994-06-13T00:00:00,589896800,Pengembangan
ADHI,Adhi Karya (Persero) Tbk.,2004-03-18T00:00:00,8407608979,Utama
ADMF,Adira Dinamika Multi Finance T,2004-03-31T00:00:00,1000000000,Pengembangan
ADMG,Polychem Indonesia Tbk,1993-10-20T00:00:00,3889179559,Pengembangan
ADRO,Alamtri Resources Indonesia Tb,2008-07-16T00:00:00,30758665900,Utama
AGII,Samator Indo Gas Tbk.,2016-09-28T00:00:00,3066660000,Pengembangan
AGRO,Bank Raya Indonesia Tbk.,2003-08-08T00:00:00,24493093216,Utama
AGRS,Bank IBK Indonesia Tbk.,2014-12-22T00:00:00,47367057874,Pengembangan
AHAP,Asuransi Harta Aman Pratama Tb,1990-09-14T00:00:00,4900000000,Pengembangan
AIMS,Artha Mahiya Investama Tbk.,2001-07-20T00:00:00,220000000,Pengembangan
AISA,FKS Food Sejahtera Tbk.,1997-06-11T00:00:00,9311800000,Utama
AKKU,Anugerah Kagum Karya Utama Tbk,2004-11-01T00:00:00,6449463636,Pemantauan Khusus
AKPI,Argha Karya Prima Industry Tbk,1992-12-18T00:00:00,612248000,Pengembangan
AKRA,AKR Corporindo Tbk.,1994-10-03T00:00:00,20073474600,Utama
AKSI,Mineral Sumberdaya Mandiri Tbk,2001-07-13T00:00:00,720000000,Pengembangan
ALDO,Alkindo Naratama Tbk.,2011-07-12T00:00:00,2700713744,Pengembangan
ALKA,Alakasa Industrindo Tbk,1990-07-12T00:00:00,507665055,Pengembangan
ALMI,Alumindo Light Metal Industry ,1997-01-02T00:00:00,3816000000,Pemantauan Khusus
ALTO,Tri Banyan Tirta Tbk.,2012-07-10T00:00:00,2191870558,Pemantauan Khusus
AMAG,Asuransi Multi Artha Guna Tbk.,2005-12-23T00:00:00,5001552516,Pengembangan
AMFG,Asahimas Flat Glass Tbk.,1995-11-08T00:00:00,434000000,Utama
AMIN,Ateliers Mecaniques D Indonesi,2015-12-10T00:00:00,1080000000,Pengembangan
AMRT,Sumber Alfaria Trijaya Tbk.,2009-01-15T00:00:00,41524501700,Utama
ANJT,Austindo Nusantara Jaya Tbk.,2013-05-08T00:00:00,3354175000,Pengembangan
ANTM,Aneka Tambang Tbk.,1997-11-27T00:00:00,24030764725,Utama
APEX,Apexindo Pratama Duta Tbk.,2013-06-05T00:00:00,3546466661,Pengembangan
APIC,Pacific Strategic Financial Tb,2002-12-18T00:00:00,11766313488,Pengembangan
APII,Arita Prima Indonesia Tbk.,2013-10-29T00:00:00,1075760000,Pengembangan
APLI,Asiaplast Industries Tbk.,2000-05-01T00:00:00,1362671400,Pengembangan
APLN,Agung Podomoro Land Tbk.,2010-11-11T00:00:00,22699326779,Utama
ARGO,Argo Pantes Tbk,1991-01-07T00:00:00,3174339029,Pengembangan
ARII,Atlas Resources Tbk.,2011-11-08T00:00:00,3431000000,Pengembangan
ARNA,Arwana Citramulia Tbk.,2001-07-17T00:00:00,7341430976,Utama
ARTA,Arthavest Tbk,2002-11-05T00:00:00,446674175,Pengembangan
ARTI,Ratu Prabu Energi Tbk,2003-04-30T00:00:00,7840000000,Pemantauan Khusus
ARTO,Bank Jago Tbk.,2016-01-12T00:00:00,13722768400,Utama
ASBI,Asuransi Bintang Tbk.,1989-11-29T00:00:00,348386472,Pengembangan
ASDM,Asuransi Dayin Mitra Tbk.,1989-12-15T00:00:00,384000000,Pengembangan
ASGR,Astra Graphia Tbk.,1989-11-15T00:00:00,1348780500,Utama
ASII,Astra International Tbk.,1990-04-04T00:00:00,40483553140,Utama
ASJT,Asuransi Jasa Tania Tbk.,2003-12-23T00:00:00,1400000000,Pengembangan
ASMI,Asuransi Maximus Graha Persada,2014-01-16T00:00:00,8958380460,Pemantauan Khusus
ASRI,Alam Sutera Realty Tbk.,2007-12-18T00:00:00,19649411888,Utama
ASRM,Asuransi Ramayana Tbk.,1990-03-19T00:00:00,1217135360,Pengembangan
ASSA,Adi Sarana Armada Tbk.,2012-11-12T00:00:00,3691137517,Utama
ATIC,Anabatic Technologies Tbk.,2015-07-08T00:00:00,2315361355,Pengembangan
AUTO,Astra Otoparts Tbk.,1998-06-15T00:00:00,4819733000,Utama
BABP,Bank MNC Internasional Tbk.,2002-07-15T00:00:00,44014333126,Pengembangan
BACA,Bank Capital Indonesia Tbk.,2007-10-04T00:00:00,19753494636,Utama
BAJA,Saranacentral Bajatama Tbk.,2011-12-21T00:00:00,1800000000,Pengembangan
BALI,Bali Towerindo Sentra Tbk.,2014-03-13T00:00:00,3934592500,Utama
BAPA,Bekasi Asri Pemula Tbk.,2008-01-14T00:00:00,661784520,Pengembangan
BATA,Sepatu Bata Tbk.,1982-03-24T00:00:00,1300000000,Pengembangan
BAYU,Bayu Buana Tbk,1989-10-30T00:00:00,353220780,Pengembangan
BBCA,Bank Central Asia Tbk.,2000-05-31T00:00:00,1.22E+11,Utama
BBHI,Allo Bank Indonesia Tbk.,2015-08-12T00:00:00,21512953877,Utama
BBKP,Bank KB Bukopin Tbk.,2006-07-10T00:00:00,1.86E+11,Utama
BBLD,Buana Finance Tbk.,1990-05-07T00:00:00,1645796054,Pengembangan
BBMD,Bank Mestika Dharma Tbk.,2013-07-08T00:00:00,4049189100,Pengembangan
BBNI,Bank Negara Indonesia (Persero,1996-11-25T00:00:00,36924339786,Utama
BBRI,Bank Rakyat Indonesia (Persero,2003-11-10T00:00:00,1.50E+11,Utama
BBRM,Pelayaran Nasional Bina Buana ,2013-01-09T00:00:00,8479490328,Pengembangan
BBTN,Bank Tabungan Negara (Persero),2009-12-17T00:00:00,13894099969,Utama
BBYB,Bank Neo Commerce Tbk.,2015-01-13T00:00:00,13216977523,Utama
BCAP,MNC Kapital Indonesia Tbk.,2001-06-08T00:00:00,42618850927,Utama
BCIC,Bank JTrust Indonesia Tbk.,1997-06-25T00:00:00,17926071041,Pengembangan
BCIP,Bumi Citra Permai Tbk.,2009-12-11T00:00:00,1429915525,Pengembangan
BDMN,Bank Danamon Indonesia Tbk.,1989-12-06T00:00:00,9675817341,Utama
BEKS,Bank Pembangunan Daerah Banten,2001-07-13T00:00:00,51351733883,Pemantauan Khusus
BEST,Bekasi Fajar Industrial Estate,2012-04-10T00:00:00,9647311150,Utama
BFIN,BFI Finance  Indonesia Tbk.,1990-05-16T00:00:00,15967115620,Utama
BGTG,Bank Ganesha Tbk.,2016-05-12T00:00:00,23731287132,Pengembangan
BHIT,MNC Asia Holding Tbk.,1997-11-24T00:00:00,86068156705,Pemantauan Khusus
BIKA,Binakarya Jaya Abadi Tbk.,2015-07-14T00:00:00,592280000,Pemantauan Khusus
BIMA,Primarindo Asia Infrastructure,1994-08-30T00:00:00,608175716,Pengembangan
BINA,Bank Ina Perdana Tbk.,2014-01-16T00:00:00,6073369498,Utama
BIPI,Astrindo Nusantara Infrastrukt,2010-02-11T00:00:00,63710196917,Pengembangan
BIPP,Bhuwanatala Indah Permai Tbk.,1995-10-23T00:00:00,5028669376,Pemantauan Khusus
BIRD,Blue Bird Tbk.,2014-11-05T00:00:00,2502100000,Utama
BISI,BISI International Tbk.,2007-05-28T00:00:00,3000000000,Utama
BJBR,Bank Pembangunan Daerah Jawa B,2010-07-08T00:00:00,10416229249,Utama
BJTM,Bank Pembangunan Daerah Jawa T,2012-07-12T00:00:00,14865343101,Utama
BKDP,Bukit Darmo Property Tbk,2007-06-15T00:00:00,7513992252,Pemantauan Khusus
BKSL,Sentul City Tbk.,1997-07-28T00:00:00,1.68E+11,Pemantauan Khusus
BKSW,Bank QNB Indonesia Tbk.,2002-11-21T00:00:00,34806467881,Pengembangan
BLTA,Berlian Laju Tanker Tbk,1990-03-26T00:00:00,25940187103,Pemantauan Khusus
BLTZ,Graha Layar Prima Tbk.,2014-04-10T00:00:00,873937142,Pemantauan Khusus
BMAS,Bank Maspion Indonesia Tbk.,2013-07-11T00:00:00,17921635680,Pemantauan Khusus
BMRI,Bank Mandiri (Persero) Tbk.,2003-07-14T00:00:00,92399999996,Utama
BMSR,Bintang Mitra Semestaraya Tbk,1999-12-29T00:00:00,1159200024,Pengembangan
BMTR,Global Mediacom Tbk.,1995-07-17T00:00:00,16583997586,Utama
BNBA,Bank Bumi Arta Tbk.,2006-06-01T00:00:00,3354120000,Pengembangan
BNBR,Bakrie & Brothers Tbk,1989-08-28T00:00:00,1.73E+11,Pemantauan Khusus
BNGA,Bank CIMB Niaga Tbk.,1989-11-29T00:00:00,24890783784,Utama
BNII,Bank Maybank Indonesia Tbk.,1989-11-21T00:00:00,75357433911,Utama
BNLI,Bank Permata Tbk.,1990-01-15T00:00:00,35819545925,Pengembangan
BOLT,Garuda Metalindo Tbk.,2015-07-07T00:00:00,2343750000,Pengembangan
BPFI,Woori Finance Indonesia Tbk.,2009-06-01T00:00:00,2673995362,Pengembangan
BPII,Batavia Prosperindo Internasio,2014-07-08T00:00:00,10309973240,Pengembangan
BRAM,Indo Kordsa Tbk.,1990-09-05T00:00:00,450056980,Pengembangan
BRMS,Bumi Resources Minerals Tbk.,2010-12-09T00:00:00,1.42E+11,Utama
BRNA,Berlina Tbk.,1989-11-06T00:00:00,979110000,Pengembangan
BRPT,Barito Pacific Tbk.,1993-10-01T00:00:00,93747218044,Utama
BSDE,Bumi Serpong Damai Tbk.,2008-06-06T00:00:00,21171365812,Utama
BSIM,Bank Sinarmas Tbk.,2010-12-13T00:00:00,19517921842,Utama
BSSR,Baramulti Suksessarana Tbk.,2012-11-08T00:00:00,2616500000,Pengembangan
BSWD,Bank Of India Indonesia Tbk.,2002-05-01T00:00:00,3651978177,Pengembangan
BTEK,Bumi Teknokultura Unggul Tbk,2004-05-14T00:00:00,46277496376,Pemantauan Khusus
BTEL,Bakrie Telecom Tbk.,2006-02-03T00:00:00,36822665755,Pemantauan Khusus
BTON,Betonjaya Manunggal Tbk.,2001-07-18T00:00:00,720000000,Pemantauan Khusus
BTPN,Bank SMBC Indonesia Tbk.,2008-03-12T00:00:00,10536203690,Utama
BUDI,Budi Starch & Sweetener Tbk.,1995-05-08T00:00:00,4498997362,Utama
BUKK,Bukaka Teknik Utama Tbk.,2015-06-29T00:00:00,2640452000,Pengembangan
BULL,Buana Lintas Lautan Tbk.,2011-05-23T00:00:00,14117801449,Pengembangan
BUMI,Bumi Resources Tbk.,1990-07-30T00:00:00,3.71E+11,Utama
BUVA,Bukit Uluwatu Villa Tbk.,2010-07-12T00:00:00,20590473213,Pengembangan
BVIC,Bank Victoria International Tb,1999-06-30T00:00:00,15690056585,Utama
BWPT,Eagle High Plantations Tbk.,2009-10-27T00:00:00,31525291000,Utama
BYAN,Bayan Resources Tbk.,2008-08-12T00:00:00,33333335000,Utama
CANI,Capitol Nusantara Indonesia Tb,2014-01-16T00:00:00,833440000,Pemantauan Khusus
CASS,Cardig Aero Services Tbk.,2011-12-05T00:00:00,2086950000,Utama
CEKA,Wilmar Cahaya Indonesia Tbk.,1996-07-09T00:00:00,595000000,Pengembangan
CENT,Centratama Telekomunikasi Indo,2001-11-01T00:00:00,31183464900,Pemantauan Khusus
CFIN,Clipan Finance Indonesia Tbk.,1990-08-27T00:00:00,3984520457,Utama
CINT,Chitose Internasional Tbk.,2014-06-27T00:00:00,1000000000,Pengembangan
CITA,Cita Mineral Investindo Tbk.,2002-03-20T00:00:00,3960361250,Pengembangan
CLPI,Colorpak Indonesia Tbk.,2001-11-30T00:00:00,306338500,Pengembangan
CMNP,Citra Marga Nusaphala Persada ,1995-01-10T00:00:00,6020165828,Utama
CMPP,AirAsia Indonesia Tbk.,1994-12-08T00:00:00,10685124441,Pemantauan Khusus
CNKO,Exploitasi Energi Indonesia Tb,2001-11-20T00:00:00,8956361206,Pemantauan Khusus
CNTX,Century Textile Industry Tbk.,1979-05-22T00:00:00,70000000,Pemantauan Khusus
COWL,Cowell Development Tbk.,2007-12-19T00:00:00,4871214021,Pemantauan Khusus
CPIN,Charoen Pokphand Indonesia Tbk,1991-03-18T00:00:00,16398000000,Utama
CPRO,Central Proteina Prima Tbk.,2006-11-28T00:00:00,59572382787,Pengembangan
CSAP,Catur Sentosa Adiprana Tbk.,2007-12-12T00:00:00,5683175151,Pengembangan
CTBN,Citra Tubindo Tbk.,1989-11-28T00:00:00,800371500,Pemantauan Khusus
CTRA,Ciputra Development Tbk.,1994-03-28T00:00:00,18535695255,Utama
CTTH,Citatah Tbk.,1996-07-03T00:00:00,1230839821,Pemantauan Khusus
DART,Duta Anggada Realty Tbk.,1990-05-08T00:00:00,3141390962,Pengembangan
DEFI,Danasupra Erapacific Tbk.,2001-07-06T00:00:00,687266666,Pemantauan Khusus
DEWA,Darma Henwa Tbk,2007-09-26T00:00:00,21853733792,Utama
DGIK,Nusa Konstruksi Enjiniring Tbk,2007-12-19T00:00:00,5541165000,Pengembangan
DILD,Intiland Development Tbk.,1991-09-04T00:00:00,10365854185,Utama
DKFT,Central Omega Resources Tbk.,1997-11-21T00:00:00,5638246600,Pengembangan
DLTA,Delta Djakarta Tbk.,1984-02-27T00:00:00,800659050,Utama
DMAS,Puradelta Lestari Tbk.,2015-05-29T00:00:00,48198111100,Utama
DNAR,Bank Oke Indonesia Tbk.,2014-07-11T00:00:00,16867292274,Pengembangan
DNET,Indoritel Makmur Internasional,2000-12-11T00:00:00,14184000000,Pengembangan
DOID,Delta Dunia Makmur Tbk.,2001-06-15T00:00:00,7651007132,Utama
DPNS,Duta Pertiwi Nusantara Tbk.,1990-08-08T00:00:00,331129952,Pengembangan
DSFI,Dharma Samudera Fishing Indust,2000-03-24T00:00:00,1857135500,Pengembangan
DSNG,Dharma Satya Nusantara Tbk.,2013-06-14T00:00:00,10599842400,Utama
DSSA,Dian Swastatika Sentosa Tbk,2009-12-10T00:00:00,7705523200,Utama
DUTI,Duta Pertiwi Tbk,1994-11-02T00:00:00,1850000000,Pemantauan Khusus
DVLA,Darya-Varia Laboratoria Tbk.,1994-11-11T00:00:00,1120000000,Pengembangan
DYAN,Dyandra Media International Tb,2013-03-25T00:00:00,4272964279,Pengembangan
ECII,Electronic City Indonesia Tbk.,2013-07-03T00:00:00,1334333000,Pengembangan
EKAD,Ekadharma International Tbk.,1990-08-14T00:00:00,3493875000,Pengembangan
ELSA,Elnusa Tbk.,2008-02-06T00:00:00,7298500000,Utama
ELTY,Bakrieland Development Tbk.,1995-10-30T00:00:00,43521913019,Pemantauan Khusus
EMDE,Megapolitan Developments Tbk.,2011-01-12T00:00:00,3350000000,Pengembangan
EMTK,Elang Mahkota Teknologi Tbk.,2010-01-12T00:00:00,61391751483,Utama
ENRG,Energi Mega Persada Tbk.,2004-06-07T00:00:00,24821230250,Utama
EPMT,Enseval Putera Megatrading Tbk,1994-08-01T00:00:00,2708640000,Pengembangan
ERAA,Erajaya Swasembada Tbk.,2011-12-14T00:00:00,15950000000,Utama
ERTX,Eratex Djaja Tbk.,1990-08-21T00:00:00,1286539792,Pengembangan
ESSA,ESSA Industries Indonesia Tbk.,2012-02-01T00:00:00,17226975700,Utama
